,Unnamed: 0,N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,humidity,rainfall,temperature,SumOFNPK,PerOfN,PerOfP,PerOfK,SumNPK,NStatus,PStatus,KStatus
0,0,143,69,217,5.9,0.58,0.23,10.2,116.35,59.96,54.85,21.29,82.00274423,202.9355362,20.87974371,429,33.33333333,16.08391608,50.58275058,429,0,1,0
1,1,170,36,216,5.9,0.15,0.28,15.69,114.2,56.87,31.28,28.62,80.31964408,226.6555374,21.77046169,422,40.28436019,8.530805687,51.18483412,422,0,0,0
2,2,158,66,219,6.8,0.34,0.2,15.29,65.87,51.81,57.12,27.59,82.3207629,263.9642476,23.00445915,443,35.66591422,14.89841986,49.43566591,443,0,0,0
3,3,133,45,207,6.4,0.94,0.21,8.48,103.1,43.81,68.5,47.29,80.15836264,242.8640342,26.49109635,385,34.54545455,11.68831169,53.76623377,385,0,0,0
4,4,132,48,218,6.7,0.54,0.19,5.59,63.4,56.4,46.71,31.04,81.60487287,262.7173405,20.13017482,398,33.16582915,12.06030151,54.77386935,398,0,0,0
5,5,137,36,187,6.5,0.27,0.19,14.19,103.63,55.62,62.27,22.35,83.37011772,251.0549998,23.05804872,360,38.05555556,10,51.94444444,360,0,0,0
6,6,173,62,194,6.3,0.42,0.16,5.9,106.01,47.26,38.41,14.54,82.63941394,271.3248604,22.70883798,429,40.32634033,14.45221445,45.22144522,429,0,0,0
7,7,152,56,218,6.4,0.37,0.27,14.24,107.55,40.8,65.93,14.53,82.89408619,241.9741949,20.27774362,426,35.68075117,13.14553991,51.17370892,426,0,0,0
8,8,143,71,173,6.9,0.19,0.25,7.79,70.8,68.69,51.48,20.04,83.5352163,230.4462359,24.51588066,387,36.95090439,18.34625323,44.70284238,387,0,1,0
9,9,141,20,208,6.6,0.39,0.26,7.49,104.46,29.38,68.91,18.31,83.03322691,221.2091958,23.22397386,369,38.21138211,5.420054201,56.36856369,369,0,0,0
10,10,131,36,209,5.8,0.84,0.22,5.48,79.78,50.38,35.69,41,81.41753846,264.6148697,26.52723513,376,34.84042553,9.574468085,55.58510638,376,0,0,0
11,11,146,43,195,6.7,0.12,0.24,10.2,105.36,66.53,21.74,35.32,81.45061596,250.0832336,23.97898217,384,38.02083333,11.19791667,50.78125,384,0,0,0
12,12,136,78,215,5.8,0.14,0.19,18.22,67.61,56.48,34.25,12.11,80.88684822,284.4364567,26.80079604,429,31.7016317,18.18181818,50.11655012,429,0,1,0
13,13,179,47,213,6.5,0.67,0.25,18.6,68.08,24.23,37.01,33.52,82.05687182,185.2773389,24.01497622,439,40.77448747,10.70615034,48.51936219,439,0,0,0
14,14,170,71,186,6.1,0.27,0.25,12.14,118.34,39.53,31.18,49.54,80.66385045,209.5869708,25.66585205,427,39.81264637,16.62763466,43.55971897,427,0,1,0
15,15,168,52,174,6.9,0.55,0.17,19.96,82.57,33.71,69.05,22.09,80.30025587,231.0863347,24.28209415,394,42.63959391,13.19796954,44.16243655,394,0,0,0
16,16,169,18,217,7.2,0.32,0.27,5.66,70.36,34.26,24.74,44.29,82.7883708,276.6552459,21.58711777,404,41.83168317,4.455445545,53.71287129,404,0,0,0
17,17,153,45,179,5.9,0.74,0.26,19.98,106.26,36.45,42.66,15.54,80.41817957,206.2611855,23.79391957,377,40.58355438,11.93633952,47.4801061,377,0,0,0
18,18,175,38,198,5.7,0.47,0.16,9.63,82.95,46.61,36.59,42.51,80.1923008,224.5550169,21.8652524,411,42.57907543,9.245742092,48.17518248,411,0,0,0
19,19,161,73,183,6.2,0.28,0.29,10.65,91.85,33.55,66.69,38.12,83.58760316,291.2986618,23.57943626,417,38.60911271,17.5059952,43.88489209,417,0,1,0
20,20,172,45,176,6.6,0.58,0.3,16.95,112.96,22.16,56.8,26.34,80.47476396,185.4974732,21.32504158,393,43.76590331,11.45038168,44.78371501,393,0,0,0
21,21,139,21,185,5.9,0.51,0.3,10.19,94,34.25,58.48,19.45,83.11713476,231.3843163,25.15745531,345,40.28985507,6.086956522,53.62318841,345,0,0,0
22,22,150,62,176,6.1,0.84,0.21,16.41,87.05,53.95,34.8,34.93,80.97384195,213.3560921,21.94766735,388,38.65979381,15.97938144,45.36082474,388,0,0,0
23,23,176,51,184,6.1,0.13,0.15,18.4,71.79,44.18,55,31.36,82.67839517,233.1075816,21.0525355,411,42.82238443,12.40875912,44.76885645,411,0,0,0
24,24,176,12,174,6.6,0.48,0.19,17.53,71.91,41.8,38.42,39.85,81.33265073,224.0581164,23.48381344,362,48.61878453,3.314917127,48.06629834,362,0,0,0
25,25,169,66,184,6.9,0.89,0.22,18.47,63.19,68.27,63.18,46.11,80.52389148,257.0038865,25.0756354,419,40.33412888,15.75178998,43.91408115,419,0,0,0
26,26,163,61,208,6.6,0.43,0.28,7.43,74.29,35.88,70,17.96,84.04403589,271.3586137,26.35927159,432,37.73148148,14.12037037,48.14814815,432,0,0,0
27,27,132,26,172,6.8,0.73,0.18,17.28,65.02,22.87,24.21,25.7,80.54498576,260.2634026,24.52922681,330,40,7.878787879,52.12121212,330,0,0,0
28,28,140,38,209,7.1,0.31,0.18,12.11,72.29,51.01,55.48,38.58,84.49774397,240.0810647,20.77576147,387,36.17571059,9.819121447,54.00516796,387,0,0,0
29,29,131,55,194,5.7,0.45,0.29,10.82,90.61,56.08,58.15,32.65,80.64416466,197.9791215,22.30157427,380,34.47368421,14.47368421,51.05263158,380,0,0,0
30,30,137,76,190,5.8,0.18,0.27,9.37,83.59,27.1,42.23,11.5,84.94375962,272.2017204,21.44653958,403,33.99503722,18.85856079,47.14640199,403,0,1,0
31,31,145,61,187,6.6,0.75,0.28,11.01,116.14,54.45,52.35,30.73,80.33127223,200.0882787,22.17931888,393,36.8956743,15.5216285,47.5826972,393,0,0,0
32,32,147,21,194,6.9,0.8,0.27,9.42,96.66,54.55,64.95,14.86,82.73685569,224.6757231,24.52783742,362,40.60773481,5.801104972,53.59116022,362,0,0,0
33,33,170,57,203,6.6,0.95,0.29,10.64,108.13,69,50.66,43.61,81.63895217,270.4417274,20.26707606,430,39.53488372,13.25581395,47.20930233,430,0,0,0
34,34,150,14,215,6.8,0.39,0.2,14,104.99,24.9,67.39,37.16,83.88266234,233.1321372,25.7354293,379,39.57783641,3.693931398,56.72823219,379,0,0,0
35,35,151,12,196,6.9,0.57,0.16,5.35,60.9,40.23,69.89,19.32,82.1480873,193.3473987,26.79533926,359,42.06128134,3.342618384,54.59610028,359,0,0,0
36,36,174,76,216,6.3,0.66,0.18,19.55,107.03,53.17,23.04,46.68,81.17734011,272.2999056,26.75754171,466,37.33905579,16.30901288,46.35193133,466,0,1,0
37,37,163,61,220,7,0.5,0.25,8.1,90.4,31.96,40.56,47.76,83.15250801,285.2493645,23.86330467,444,36.71171171,13.73873874,49.54954955,444,0,0,0
38,38,162,77,188,6.3,0.22,0.23,19.09,111.44,51.52,31.47,15.38,82.95221726,298.4018471,21.01944696,427,37.93911007,18.03278689,44.02810304,427,0,1,0
39,39,167,15,205,6.7,0.38,0.25,18.59,109.46,49.94,50.26,37.5,83.7287574,257.0343554,24.17298839,387,43.15245478,3.875968992,52.97157623,387,0,0,0
40,40,153,49,175,7,0.28,0.17,8.99,91.57,65.61,46.49,47.35,82.06719137,248.7183228,22.78133816,377,40.58355438,12.99734748,46.41909814,377,0,0,0
41,41,167,25,194,5.6,0.6,0.15,18.64,85.77,29.01,24.07,15.66,83.52842314,209.9001977,25.62980105,386,43.2642487,6.476683938,50.25906736,386,0,0,0
42,42,169,26,220,7.2,0.15,0.18,9.12,118.78,20.58,67.41,31.29,80.14509262,200.834898,25.59704938,415,40.72289157,6.265060241,53.01204819,415,0,0,0
43,43,160,54,203,5.8,0.38,0.18,16.85,67.35,64.58,39.63,36.93,84.81360127,298.5601175,23.83067496,417,38.36930456,12.94964029,48.68105516,417,0,0,0
44,44,151,33,220,6.7,0.14,0.19,12.44,103.93,26.86,52.42,31.56,82.36698992,265.5355937,26.31355498,404,37.37623762,8.168316832,54.45544554,404,0,0,0
45,45,164,72,206,6,0.8,0.27,10.13,72.74,29.08,61.03,47.98,80.52586088,183.6793207,24.8972823,442,37.1040724,16.28959276,46.60633484,442,0,1,0
46,46,153,79,201,5.6,0.35,0.25,12.1,103.03,47.11,52.56,16.59,84.47963372,196.9560008,24.958779,433,35.33487298,18.2448037,46.42032333,433,0,1,0
47,47,172,65,212,6.1,0.61,0.21,12.23,82.96,44.4,20.4,22.27,84.59201843,233.0453455,23.24113501,449,38.30734967,14.4766147,47.21603563,449,0,0,0
48,48,167,24,171,7,0.23,0.23,16.91,89.45,55.35,45.29,48.11,80.70960551,210.8142087,21.66628296,362,46.13259669,6.629834254,47.23756906,362,0,0,0
49,49,131,61,181,7.1,0.11,0.21,16.24,75.44,34.66,32.53,35.69,80.41363018,253.7202781,24.63544858,373,35.12064343,16.3538874,48.52546917,373,0,1,0
50,50,135,41,214,7.1,0.25,0.19,14.11,105.35,31.74,51.75,36.69,83.06310136,219.9048349,23.43121862,390,34.61538462,10.51282051,54.87179487,390,0,0,0
51,51,145,68,213,6.7,0.75,0.17,19.66,104.17,69.42,47.15,31.94,80.3477562,208.5810155,20.0454142,426,34.03755869,15.96244131,50,426,0,0,0
52,52,176,30,190,7.2,0.19,0.22,10.83,90.85,21.81,47.5,31.73,82.22572988,195.0948311,23.85724032,396,44.44444444,7.575757576,47.97979798,396,0,0,0
53,53,172,72,218,7,0.9,0.21,7.43,100.58,34.67,65.51,34.69,81.89918197,227.3637009,21.97199397,462,37.22943723,15.58441558,47.18614719,462,0,0,0
54,54,157,57,172,5.6,0.52,0.23,9.81,65.34,26.63,54.44,49.59,83.83625819,286.5083725,26.22916897,386,40.67357513,14.76683938,44.55958549,386,0,0,0
55,55,165,80,171,6.6,0.11,0.19,8.6,84.92,38.74,48.12,36.84,84.79352417,283.9338466,23.44676801,416,39.66346154,19.23076923,41.10576923,416,0,1,0
56,56,158,79,182,7.1,0.32,0.25,10.71,73.99,26.78,55.33,15.66,83.47021081,217.3788583,25.65553461,419,37.70883055,18.85441527,43.43675418,419,0,1,0
57,57,135,63,170,6,0.45,0.22,7.98,60.38,57.34,51.34,22.41,82.45432595,267.9761948,24.44345477,368,36.68478261,17.11956522,46.19565217,368,0,1,0
58,58,157,46,199,5.8,0.01,0.2,7.45,65,24.56,56.96,20.7,82.1235421,191.9535738,20.2801937,402,39.05472637,11.44278607,49.50248756,402,0,0,0
59,59,176,74,175,6.5,0.69,0.23,17.81,87.13,23.95,30.95,43.3,80.2389895,277.9626192,21.7238313,425,41.41176471,17.41176471,41.17647059,425,0,1,0
60,60,132,51,185,5.7,0.72,0.27,19.22,80.11,30.93,36.45,37.74,82.20802629,245.1511304,20.41447029,368,35.86956522,13.85869565,50.27173913,368,0,0,0
61,61,148,51,219,6.1,0.06,0.16,13.6,82.62,66.02,44.14,14.28,83.51827127,245.6626799,25.75528612,418,35.40669856,12.20095694,52.3923445,418,0,0,0
62,62,154,53,189,7,0.42,0.29,19.56,84.84,53.28,42.85,43.03,83.77345559,279.5451717,20.61521424,396,38.88888889,13.38383838,47.72727273,396,0,0,0
63,63,133,32,213,6.3,0.99,0.24,14.59,90.79,46.43,38.54,23.61,80.72886384,202.3838319,21.84106875,378,35.18518519,8.465608466,56.34920635,378,0,0,0
64,64,178,32,182,6.3,0.11,0.27,8.07,61.9,26.59,45.86,15.67,83.29114712,263.6372176,20.08369642,392,45.40816327,8.163265306,46.42857143,392,0,0,0
65,65,130,11,200,6,0.71,0.19,19.34,115.24,43.76,46.77,24.31,82.74835604,182.5616319,24.45802087,341,38.12316716,3.225806452,58.65102639,341,0,0,0
66,66,163,51,198,6.6,0.62,0.22,5.54,78.87,30.25,41.57,30.42,80.33502926,198.6730942,21.14347496,412,39.5631068,12.37864078,48.05825243,412,0,0,0
67,67,131,39,181,7.1,0.41,0.29,15.56,110.63,27.42,49.04,41.53,82.11124033,243.5120414,25.78720567,351,37.32193732,11.11111111,51.56695157,351,0,0,0
68,68,167,39,183,6.4,0.58,0.25,5.63,66.23,68.1,27.78,20.73,80.28597873,263.1103304,23.64124821,389,42.93059126,10.02570694,47.0437018,389,0,0,0
69,69,140,61,193,6.7,0.04,0.19,14.65,116.21,57.04,55.82,43.71,80.56887849,269.5039162,23.43191632,394,35.53299492,15.4822335,48.98477157,394,0,0,0
70,70,139,55,190,6.3,0.03,0.27,10.61,118.68,50.28,34.29,39.61,83.891805,204.8001847,24.97669518,384,36.19791667,14.32291667,49.47916667,384,0,0,0
71,71,140,63,201,6.8,0.91,0.23,19.94,63.87,69.02,46.39,44.53,82.1706881,260.8875056,22.72791041,404,34.65346535,15.59405941,49.75247525,404,0,0,0
72,72,153,36,202,6.4,0.24,0.18,13.97,85.31,36.42,26.41,48.34,82.84022551,295.6094492,24.87300744,391,39.13043478,9.207161125,51.66240409,391,0,0,0
73,73,146,39,197,7,0.59,0.21,9.44,73.93,48.22,42.19,41.01,83.00320459,192.3197536,21.32376327,382,38.21989529,10.20942408,51.57068063,382,0,0,0
74,74,146,69,177,6.9,0.8,0.18,18.81,111.02,69.4,20.08,49.27,84.56919326,257.4914906,26.29465461,392,37.24489796,17.60204082,45.15306122,392,0,1,0
75,75,150,17,171,6.2,0.43,0.29,13.53,62.62,34.65,23.35,42.68,81.85872947,278.0791793,22.2286982,338,44.37869822,5.029585799,50.59171598,338,0,0,0
76,76,132,11,196,5.7,0.87,0.19,19.53,78.11,56.31,54.22,11.07,81.78596776,280.4044392,26.73072391,339,38.9380531,3.244837758,57.81710914,339,0,0,0
77,77,171,34,201,7.1,1,0.26,12.11,66.56,39.54,67.53,47.21,81.97927117,185.9461429,24.88921174,406,42.1182266,8.374384236,49.50738916,406,0,0,0
78,78,180,11,211,6,0.84,0.23,5.85,92.52,37.42,47.7,48.25,81.46033732,194.5766559,26.88444878,402,44.7761194,2.736318408,52.48756219,402,0,0,0
79,79,178,16,179,6.9,0.77,0.23,15.36,108.73,63.16,35.03,10.91,83.72874389,200.9133156,22.67846116,373,47.72117962,4.289544236,47.98927614,373,0,0,0
80,80,135,51,195,6.9,0.9,0.16,9.21,118.35,67.13,47.73,42.37,80.37979919,182.9043504,26.08867875,381,35.43307087,13.38582677,51.18110236,381,0,0,0
81,81,137,53,177,6.8,0.98,0.19,19.8,102.44,58.38,45.95,27.97,82.94682591,195.3574542,25.42977518,367,37.32970027,14.44141689,48.22888283,367,0,0,0
82,82,161,57,186,5.8,0.93,0.27,9.5,100.99,51.96,43.01,32.55,81.05635517,223.3671883,26.40323239,404,39.85148515,14.10891089,46.03960396,404,0,0,0
83,83,153,78,188,5.6,0.09,0.26,18.72,117.45,53.95,67.84,42.67,84.96907151,186.7536773,26.04371967,419,36.51551313,18.61575179,44.86873508,419,0,1,0
84,84,141,69,211,5.7,0.71,0.16,12.33,116.81,68.31,43.3,42.22,80.54372813,220.1156708,25.2827223,421,33.49168646,16.38954869,50.11876485,421,0,1,0
85,85,163,41,186,5.6,0.58,0.23,10.99,69.61,59.56,26.76,31.23,83.47038318,231.7364957,22.08576562,390,41.79487179,10.51282051,47.69230769,390,0,0,0
86,86,145,80,181,6.1,0.09,0.21,11.79,119.03,53.9,28.24,23.97,81.43321641,242.3170629,23.28617173,406,35.71428571,19.7044335,44.58128079,406,0,1,0
87,87,133,15,212,6.4,0.87,0.27,17.31,108.36,29.97,54.07,43.06,81.40633547,182.6549356,25.48591986,360,36.94444444,4.166666667,58.88888889,360,0,0,0
88,88,175,12,171,5.8,0.16,0.21,17.07,112.14,49.21,69.76,30.55,81.03569343,233.7034975,23.67575393,358,48.88268156,3.351955307,47.76536313,358,0,0,0
89,89,147,62,192,7.1,0.97,0.28,12.52,60.1,50.96,63.13,39.13,84.1341879,230.2242223,20.82477109,401,36.65835411,15.46134663,47.88029925,401,0,0,0
90,90,151,69,207,5.9,0.55,0.25,16.14,113.51,22.04,31.29,19.27,81.91411159,290.6793783,26.92995077,427,35.36299766,16.15925059,48.47775176,427,0,1,0
91,91,133,64,197,7.1,0.78,0.15,18.88,72.6,67.42,26.32,15.82,83.88387074,241.2013513,23.83509503,394,33.75634518,16.24365482,50,394,0,1,0
92,92,168,64,206,5.8,0.34,0.18,12.97,76.81,42.61,48.57,31.22,80.12267476,218.9163567,26.52872817,438,38.35616438,14.61187215,47.03196347,438,0,0,0
93,93,153,60,185,6.3,0.19,0.28,6.86,85.83,69.79,23.61,33.64,83.85642678,248.2256491,26.46428311,398,38.44221106,15.07537688,46.48241206,398,0,0,0
94,94,173,29,170,5.9,0.5,0.17,16.42,70.15,23.94,55.15,19.28,82.81088865,256.9964761,22.69657794,372,46.50537634,7.795698925,45.69892473,372,0,0,0
95,95,138,78,194,7.1,0.34,0.15,15.83,92.88,48.58,69.7,25.54,83.46358271,194.2651719,22.68319059,410,33.65853659,19.02439024,47.31707317,410,0,1,0
96,96,143,21,218,6.4,0.17,0.16,10.56,113.57,51.07,25.58,23.23,82.14004101,295.9248796,21.53346343,382,37.43455497,5.497382199,57.06806283,382,0,0,0
97,97,141,36,190,7.2,0.33,0.19,18.23,109.89,68.6,56.66,44.87,83.3293191,287.5766935,21.40865769,367,38.41961853,9.809264305,51.77111717,367,0,0,0
98,98,177,79,214,6.4,0.33,0.28,5.97,98.7,64.64,44.2,10.35,84.67353597,183.6222657,26.54348085,470,37.65957447,16.80851064,45.53191489,470,0,1,0
99,99,137,38,208,6.1,0.54,0.27,5.57,115.77,40.37,21.61,25.95,83.59512273,188.413665,23.35905428,383,35.77023499,9.921671018,54.30809399,383,0,0,0
100,100,104,23,193,5.8,1.16,0.23,15.78,60.23,85.25,33.45,67.88,63.69070564,87.75953857,22.61359953,320,32.5,7.1875,60.3125,320,0,0,0
101,101,146,76,192,5.7,0.6,0.32,17.82,148.4,75,23.4,68.2,71.57476937,102.2662445,26.10018422,414,35.26570048,18.35748792,46.37681159,414,0,1,0
102,102,153,62,67,6.2,0.12,0.04,20.12,88.95,125.23,28.67,26.1,71.59351368,66.71995467,23.55882094,282,54.25531915,21.9858156,23.75886525,282,0,1,1
103,103,155,66,86,5.9,0.14,0.066,13.42,78.73,46.97,33.23,45.1,57.68272924,60.65171481,19.97215954,307,50.48859935,21.49837134,28.01302932,307,0,1,0
104,104,98,85,191,6,1.45,0.28,14.47,179.63,85.79,47.76,65.83,62.69503871,65.43835393,18.47891261,374,26.20320856,22.72727273,51.06951872,374,0,1,0
105,105,95,87,141,4.8,0.88,0.27,18.63,71.11,64.77,20.86,58.64,57.80840636,102.0861694,21.77689322,323,29.41176471,26.93498452,43.65325077,323,0,0,0
106,106,107,79,127,5.7,0.75,0.25,9.46,80.98,89.12,29.14,60.91,66.50415474,105.4654703,25.6217169,313,34.18530351,25.23961661,40.57507987,313,0,0,0
107,107,123,74,134,6,0.83,0.31,19.9,140.22,99.24,23.29,70.52,66.6902901,78.06639649,25.19192419,331,37.16012085,22.35649547,40.48338369,331,0,1,0
108,108,93,73,139,6.4,1.05,0.18,18.34,191.43,54.99,37.53,54.89,62.5542482,65.27798457,20.41683147,305,30.49180328,23.93442623,45.57377049,305,0,1,0
109,109,137,74,188,6.1,0.57,0.17,15.44,84.83,51.88,50,69.45,66.78627406,109.2162279,24.92162194,399,34.3358396,18.54636591,47.11779449,399,0,1,0
110,110,145,84,191,5.1,1.07,0.19,15.6,50.27,64.46,38.88,66.69,73.4541537,94.29712821,23.31689124,420,34.52380952,20,45.47619048,420,0,1,0
111,111,86,83,143,5.7,0.89,0.34,13.28,173.21,70.27,22.48,66.15,68.3584573,74.05474936,24.84016732,312,27.56410256,26.6025641,45.83333333,312,0,0,0
112,112,148,76,197,6,0.87,0.22,15.81,110.14,65.92,20.69,55.41,58.84015925,63.87020584,22.27526694,421,35.1543943,18.05225653,46.79334917,421,0,1,0
113,113,137,71,170,5.1,0.72,0.32,9.97,88.37,95.67,40.4,63.5,65.76816093,94.76189431,18.87751445,378,36.24338624,18.78306878,44.97354497,378,0,1,0
114,114,131,81,149,4.8,1.44,0.16,16.96,64.95,72.87,47.96,61.14,60.2001687,72.12375573,25.19008683,361,36.28808864,22.43767313,41.27423823,361,0,1,0
115,115,129,85,179,5.2,0.88,0.23,12.08,123.96,77.69,30.11,67.32,55.28220433,63.72358154,18.25405352,393,32.82442748,21.62849873,45.54707379,393,0,1,0
116,116,86,80,195,6.8,1.22,0.21,19.53,62.65,55.71,22.56,64.69,70.4162444,104.1626147,24.6129118,361,23.82271468,22.16066482,54.0166205,361,0,1,0
117,117,81,87,128,6.4,1.17,0.25,16.92,188.97,53.49,34.25,62.58,65.26185135,76.68456006,25.1420613,296,27.36486486,29.39189189,43.24324324,296,0,0,0
118,118,127,80,163,5.6,1.3,0.21,12.3,173.53,63.03,44.37,65.89,60.1159381,65.49730729,23.09348056,370,34.32432432,21.62162162,44.05405405,370,0,1,0
119,119,111,82,164,5.8,0.63,0.24,14.66,196.99,82.4,46.82,58.46,62.89366992,84.23613484,18.05033737,357,31.09243697,22.96918768,45.93837535,357,0,1,0
120,120,100,82,159,5.4,0.55,0.2,14.32,148.77,61.36,40.08,68.78,73.80435276,79.74078719,24.9321581,341,29.3255132,24.04692082,46.62756598,341,0,0,0
121,121,112,88,148,6.2,1.48,0.25,14.38,63.05,81.71,45,66.52,71.09445342,88.07753741,18.14710054,348,32.18390805,25.28735632,42.52873563,348,0,0,0
122,122,89,77,156,5.2,0.82,0.27,12.54,100.06,86.28,45.08,62.04,66.65952796,80.97573281,18.28362235,322,27.63975155,23.91304348,48.44720497,322,0,1,0
123,123,85,80,131,5,1.29,0.34,18.71,51.06,87.68,41.62,70.34,58.75082029,79.7532896,18.83344471,296,28.71621622,27.02702703,44.25675676,296,0,0,0
124,124,118,70,153,5.7,1.08,0.24,11.09,162.31,84.41,27.58,69.93,67.22190688,74.51490791,25.71895816,341,34.60410557,20.52785924,44.86803519,341,0,1,0
125,125,148,73,198,5.5,0.58,0.29,13.5,182.25,56.44,35.78,58.55,68.49835977,96.46380213,25.33797709,419,35.3221957,17.42243437,47.25536993,419,0,1,0
